授業名,曜日,時間,時期,階数名,館,使用教室,class_num
理学輪講Ａ(u1),2,3,前期,2,1,1209,57
理学輪講Ａ(u1),2,3,前期,2,1,1208,57
理学輪講Ａ(u1),2,3,前期,2,1,1407,54
理学輪講Ａ(u1),2,3,前期,3,1,1312,58
代数学特論Ａ,3,1,前期,4,1,1407,54
理学輪講Ａ(u1),4,3,前期,2,1,1209,57
理学輪講Ａ(u1),4,3,前期,4,1,1407,54
機械総合演習Ⅰ(RM),1,3,前期,1,2,2110,14
基礎電子工学実験Ⅰ(e1)(e2),1,3,前期,1,2,2111,31
基礎電子工学実験Ⅰ(e1)(e2),1,3,前期,1,2,2111,32
基礎電子工学実験Ⅰ(e1)(e2),1,3,前期,1,2,2113,15
基礎電子工学実験Ⅰ(e1)(e2),1,3,前期,1,2,2114,9
機械工学実験・実習Ⅰ(m1)(m2),1,4,前期,1,2,2110,14
機械設計製図Ⅰ(m1)(m2),1,4,前期,2,2,2230,1
//基礎電子工学実験Ⅰ(e1)(e2),1,4,前期,1,2,2111,31
//基礎電子工学実験Ⅰ(e1)(e2),1,4,前期,1,2,2111,32
基礎電子工学実験Ⅰ(e1)(e2),1,4,前期,1,2,2113,15
基礎電子工学実験Ⅰ(e1)(e2),1,4,前期,1,2,2114,9
建築設計演習Ａ,1,4,前期,3,2,2331,45
機械工学実験・実習Ⅰ(m1)(m2),1,5,前期,1,2,2110,14
機械設計製図Ⅰ(m1)(m2),1,5,前期,2,2,2230,1
基礎電子工学実験Ⅰ(e1)(e2),1,5,前期,1,2,2111,31
基礎電子工学実験Ⅰ(e1)(e2),1,5,前期,1,2,2111,32
基礎電子工学実験Ⅰ(e1)(e2),1,5,前期,1,2,2113,15
基礎電子工学実験Ⅰ(e1)(e2),1,5,前期,1,2,2114,9
情報科教育法,2,2,前期,1,2,1,14
情報科教育法,2,2,前期,1,2,2,15
情報科教育法,2,2,前期,1,2,2,15
情報科教育法,2,2,前期,1,2,2,15
数理プログラミングⅡ(RU),2,3,前期,1,2,1,14
数理プログラミングⅡ(RU),2,3,前期,1,2,2,15
数理プログラミングⅡ(RU),2,3,前期,1,2,2,15
数理プログラミングⅡ(RU),2,3,前期,1,2,2,15
数理プログラミングⅡ(RU),2,3,前期,1,2,1,14
数理プログラミングⅡ(RU),2,3,前期,1,2,2,15
数理プログラミングⅡ(RU),2,3,前期,1,2,2,15
数理プログラミングⅡ(RU),2,3,前期,1,2,2,15
数理情報学応用演習(u4),2,4,前期,1,2,1,14
数理情報学応用演習(u4),2,4,前期,1,2,2,15
数理情報学応用演習(u4),2,4,前期,1,2,2,15
数理情報学応用演習(u4),2,4,前期,1,2,2,15
応用水理学Ａ,3,2,前期,3,2,2331,45
数値解析Ａ(RM),3,3,前期,1,2,2,15
物質科学輪講Ⅰ,3,5,前期,3,2,2333,47
物質科学輪講Ⅱ,3,5,前期,3,2,2333,47
建築設計論,3,5,前期,3,2,2331,45
ＣＡＤ／ＣＡＥ(m1),4,2,前期,1,2,2,15
鋼構造学特論,4,2,前期,3,2,2331,45
熱工学特論,4,2,前期,3,2,2332,46
電子情報工学実験Ⅰ(e1),4,3,前期,1,2,1,14
情報システム演習Ⅰ(d1),4,4,前期,3,2,2320,10
情報システム演習Ⅰ(d2),4,4,前期,3,2,2320,10
機械工学実験・実習Ⅲ(m1),4,4,前期,3,2,2331,45
機械工学実験・実習Ⅲ(m1),4,4,前期,3,2,2332,46
機械工学実験・実習Ⅲ(m2),4,4,前期,3,2,2331,45
機械工学実験・実習Ⅲ(m2),4,4,前期,3,2,2332,46
機械設計製図Ⅲ(m1),4,4,前期,1,2,2,15
電子情報工学実験Ⅰ(e1),4,4,前期,1,2,1,14
機械工学実験・実習Ⅲ(m1),4,5,前期,3,2,2331,45
機械工学実験・実習Ⅲ(m1),4,5,前期,3,2,2332,46
機械工学実験・実習Ⅲ(m2),4,5,前期,3,2,2331,45
機械工学実験・実習Ⅲ(m2),4,5,前期,3,2,2332,46
機械設計製図Ⅲ(m1),4,5,前期,1,2,2,15
建築・都市デザイン概論(RG),5,2,前期,1,2,2,15
建築・都市デザイン概論(RG),5,2,前期,1,2,2,15
地盤工学特論,5,2,前期,3,2,2331,45
ＣＧプログラミング(d1),5,5,前期,1,2,2,15
ＣＧプログラミング,5,5,前期,1,2,2,15
ＣＧプログラミング,5,5,前期,1,2,2,15
